,year,state,district,party,candidatevotes,race_id,clean_namehouse,FEC_ID,clean_namefec,similarity_score
13888,1978,WI,6,DEM,48785,WI6_1978,ROBERT STEFFES,H8WI06015,ROBERT STEFFES,1.0
13889,1990,TN,6,DEM,60538,TN6_1990,BART GORDON,H4TN04015,BART GORDON,1.0
13890,1992,PA,7,DEM,91623,PA7_1992,FRANK DALY,H2PA07039,FRANK DALY,1.0
13891,1992,PA,7,OTHER,1627,PA7_1992,WILLIAM HICKMAN,H2PA07062,WILLIAM HICKMAN,1.0
13892,2012,PA,7,DEM,143509,PA7_2012,GEORGE BADEY,H2PA07070,GEORGE BADEY,1.0
13893,2012,PA,7,REP,209942,PA7_2012,PATRICK MEEHAN,H0PA07082,PATRICK MEEHAN,1.0
13894,1978,OH,2,DEM,64522,OH2_1978,THOMAS LUKEN,H6OH02052,THOMAS LUKEN,1.0
13895,2006,PA,10,DEM,110115,PA10_2006,CHRISTOPHER CARNEY,H6PA10109,CHRISTOPHER CARNEY,1.0
13896,1992,PA,7,REP,180648,PA7_1992,CURT WELDON,H4PA07027,CURT WELDON,1.0
13897,2012,PA,6,DEM,143803,PA6_2012,MANAN TRIVEDI,H0PA06084,MANAN TRIVEDI,1.0
13898,2012,PA,6,REP,191725,PA6_2012,JIM GERLACH,H2PA06114,JIM GERLACH,1.0
13899,1978,OH,3,DEM,62849,OH3_1978,TONY HALL,H8OH03015,TONY HALL,1.0
13900,2012,PA,5,REP,177740,PA5_2012,GLENN THOMPSON,H8PA05071,GLENN THOMPSON,1.0
13901,2006,PA,10,REP,97862,PA10_2006,DON SHERWOOD,H8PA10055,DON SHERWOOD,1.0
13902,2006,PA,11,DEM,134340,PA11_2006,PAUL KANJORSKI,H0PA11050,PAUL KANJORSKI,1.0
13903,1980,NJ,14,DEM,86921,NJ14_1980,FRANK GUARINI,H8NJ14013,FRANK GUARINI,1.0
13904,2006,PA,11,REP,51033,PA11_2006,JOSEPH LEONARDI,H6PA11065,JOSEPH LEONARDI,1.0
13905,1980,NJ,15,DEM,92457,NJ15_1980,BERNARD DWYER,H0NJ15058,BERNARD DWYER,1.0
13906,2012,PA,5,DEM,104725,PA5_2012,CHARLES DUMAS,H2PA05058,CHARLES DUMAS,1.0
13907,1978,OH,3,REP,51833,OH3_1978,DUDLEY KIRCHER,H8OH03023,DUDLEY KIRCHER,1.0
13908,1984,VA,7,DEM,77624,VA7_1984,LEWIS COSTELLO,H4VA07085,LEWIS COSTELLO,1.0
13909,2012,PA,4,REP,181603,PA4_2012,SCOTT PERRY,H2PA04135,SCOTT PERRY,1.0
13910,2012,PA,3,IND,12755,PA3_2012,STEVEN PORTER,H4PA03075,STEVEN PORTER,1.0
13911,2012,PA,4,DEM,104643,PA4_2012,HARRY PERKINSON,H2PA04143,HARRY PERKINSON,1.0
13912,1980,NJ,13,LIB,4260,NJ13_1980,JOHN SCHAFER,H0NJ13053,JOHN SCHAFER,1.0
13913,1980,NJ,14,REP,45606,NJ14_1980,DENNIS TETI,H0NJ14010,DENNIS TETI,1.0
13914,1990,TN,6,REP,26424,TN6_1990,GREGORY COCHRAN,H0TN06166,GREGORY COCHRAN,1.0
13915,1992,PA,6,DEM,108312,PA6_1992,TIM HOLDEN,H2PA06080,TIM HOLDEN,1.0
13916,2008,NY,13,DEM,107640,NY13_2008,MICHAEL MCMAHON,H8NY13077,MICHAEL MCMAHON,1.0
13917,2008,NY,13,REP,62441,NY13_2008,ROBERT STRANIERE,H8NY13127,ROBERT STRANIERE,1.0
13918,1992,CO,5,DEM,62550,CO5_1992,CHARLES ORIEZ,H2CO05034,CHARLES ORIEZ,1.0
13919,2012,PA,2,DEM,318176,PA2_2012,CHAKA FATTAH,H2PA02055,CHAKA FATTAH,1.0
13920,2006,PA,12,REP,79612,PA12_2006,DIANA IREY,H6PA12071,DIANA IREY,1.0
13921,2012,PA,1,REP,41708,PA1_2012,JOHN FEATHERMAN,H8PA01187,JOHN FEATHERMAN,1.0
13922,2012,PA,1,DEM,235394,PA1_2012,ROBERT BRADY,H8PA01153,ROBERT BRADY,1.0
13923,2006,PA,12,DEM,123472,PA12_2006,JOHN MURTHA,H6PA12030,JOHN MURTHA,1.0
13924,2012,OR,5,DEM,177229,OR5_2012,KURT SCHRADER,H8OR05107,KURT SCHRADER,1.0
13925,1978,OH,4,REP,85575,OH4_1978,TENNYSON GUYER,H6OH04025,TENNYSON GUYER,1.0
13926,2012,OR,5,REP,139223,OR5_2012,FRED THOMPSON,H0OR05047,FRED THOMPSON,1.0
13927,1990,TN,8,DEM,62241,TN8_1990,JOHN TANNER,H8TN08033,JOHN TANNER,1.0
13928,2012,OR,4,DEM,212866,OR4_2012,PETER DEFAZIO,H6OR04047,PETER DEFAZIO,1.0
13929,2006,PA,13,DEM,147368,PA13_2006,ALLYSON SCHWARTZ,H4PA13124,ALLYSON SCHWARTZ,1.0
13930,2006,PA,13,REP,75492,PA13_2006,RAJ BHAKTA,H6PA13087,RAJ BHAKTA,1.0
13931,2010,RI,2,IND,14584,RI2_2010,JOHN MATSON,H6RI02227,JOHN MATSON,1.0
13932,1992,MS,5,REP,67619,MS5_1992,PAUL HARVEY,H2MS05024,PAUL HARVEY,1.0
13933,1992,MS,5,IND,2673,MS5_1992,SHAWN O'HARA,H2MS05040,SHAWN O'HARA,1.0
13934,1978,OH,5,REP,85547,OH5_1978,DELBERT LATTA,H6OH05022,DELBERT LATTA,1.0
13935,1978,OH,6,DEM,46318,OH6_1978,TED STRICKLAND,H6OH06038,TED STRICKLAND,1.0
13936,2012,OR,4,REP,140549,OR4_2012,ART ROBINSON,H0OR04081,ART ROBINSON,1.0
13937,1984,NY,30,REP,109184,NY30_1984,FRED ECKERT,H4NY30013,FRED ECKERT,1.0
13938,1992,PA,6,REP,99694,PA6_1992,JOHN JONES,H2PA06056,JOHN JONES,1.0
13939,2006,PA,15,DEM,86186,PA15_2006,CHARLES DERTINGER,H6PA15157,CHARLES DERTINGER,1.0
13940,1984,NY,30,DEM,100066,NY30_1984,W CALL,H4NY30021,W CALL,1.0
13941,2012,OR,3,DEM,264979,OR3_2012,EARL BLUMENAUER,H6OR03064,EARL BLUMENAUER,1.0
13942,2006,PA,15,REP,106153,PA15_2006,CHARLES DENT,H4PA15087,CHARLES DENT,1.0
13943,1992,PA,4,REP,48484,PA4_1992,GORDON JOHNSTON,H8PA04058,GORDON JOHNSTON,1.0
13944,1992,PA,4,DEM,186684,PA4_1992,RON KLINK,H2PA04093,RON KLINK,1.0
13945,2008,NY,12,DEM,115633,NY12_2008,NYDIA VELAZQUEZ,H2NY00010,NYDIA VELAZQUEZ,1.0
13946,1992,MO,1,REP,74482,MO1_1992,ARTHUR MONTGOMERY,H2MO01104,ARTHUR MONTGOMERY,1.0
13947,1992,MO,1,DEM,158693,MO1_1992,WILLIAM CLAY,H0MO01066,WILLIAM CLAY,1.0
13948,1990,TN,9,DEM,48629,TN9_1990,HAROLD FORD,H6TN09043,HAROLD FORD,1.0
13949,2012,OR,2,DEM,96741,OR2_2012,JOYCE SEGERS,H0OR02093,JOYCE SEGERS,1.0
13950,1990,TN,9,REP,25730,TN9_1990,AARON DAVIS,H0TN09020,AARON DAVIS,1.0
13951,1978,OH,6,REP,85592,OH6_1978,WILLIAM HARSHA,H6OH06020,WILLIAM HARSHA,1.0
13952,2012,OR,1,DEM,197845,OR1_2012,SUZANNE BONAMICI,H2OR01133,SUZANNE BONAMICI,1.0
13953,1992,PA,3,DEM,130828,PA3_1992,ROBERT BORSKI,H2PA04010,ROBERT BORSKI,1.0
13954,2006,PA,16,REP,115741,PA16_2006,JOSEPH PITTS,H6PA16197,JOSEPH PITTS,1.0
13955,2006,PA,16,DEM,80915,PA16_2006,LOIS HERR,H4PA16051,LOIS HERR,1.0
13956,1980,NJ,12,REP,134973,NJ12_1980,MATTHEW RINALDO,H6NJ12029,MATTHEW RINALDO,1.0
13957,2006,PA,16,IND,7958,PA16_2006,JOHN MURPHY,H6PA16288,JOHN MURPHY,1.0
13958,2012,OK,5,REP,153603,OK5_2012,JAMES LANKFORD,H0OK05114,JAMES LANKFORD,1.0
13959,2012,OR,1,REP,109699,OR1_2012,DELINDA MORGAN,H2OR01190,DELINDA MORGAN,1.0
13960,2012,OK,4,REP,176740,OK4_2012,TOM COLE,H2OK04055,TOM COLE,1.0
13961,2006,PA,17,REP,75455,PA17_2006,MATTHEW WERTZ,H6PA17153,MATTHEW WERTZ,1.0
13962,2010,SC,2,REP,138861,SC2_2010,JOE WILSON,H2SC02059,JOE WILSON,1.0
13963,2008,NY,11,DEM,158235,NY11_2008,YVETTE CLARKE,H4NY11138,YVETTE CLARKE,1.0
13964,2012,OK,3,REP,201744,OK3_2012,FRANK LUCAS,H4OK06056,FRANK LUCAS,1.0
13965,2012,OK,3,DEM,53472,OK3_2012,TIMOTHY MURRAY,H2OK03081,TIMOTHY MURRAY,1.0
13966,1978,OH,7,REP,92507,OH7_1978,CLARENCE BROWN,H6OH07028,CLARENCE BROWN,1.0
13967,2012,OK,4,DEM,71846,OK4_2012,DONNA BEBO,H2OK04139,DONNA BEBO,1.0
13968,2006,PA,17,DEM,137253,PA17_2006,TIM HOLDEN,H2PA06080,TIM HOLDEN,1.0
