,year,state,district,party,candidatevotes,race_id,clean_namehouse,FEC_ID,clean_namefec,similarity_score
244,2024,TX,20,DEM,157890,TX20_2024,JOAQUIN CASTRO,H2TX35011,JOAQUIN CASTRO,1.0
245,2024,TX,21,LIB,8914,TX21_2024,BOB KING,H4TX21116,BOB KING,1.0
253,2024,TX,18,REP,66810,TX18_2024,LANA CENTONZE,H4TX18161,LANA CENTONZE,1.0
254,2024,TX,18,DEM,151834,TX18_2024,SYLVESTER TURNER,H4TX18237,SYLVESTER TURNER,1.0
255,2024,TX,19,LIB,23964,TX19_2024,BERNARD JOHNSON,H4TX19334,BERNARD JOHNSON,1.0
256,2024,TX,19,REP,214950,TX19_2024,JODEY ARRINGTON,H6TX19099,JODEY ARRINGTON,1.0
257,2024,TX,19,IND,27461,TX19_2024,NATHAN LEWIS,H2TX19072,NATHAN LEWIS,1.0
258,2024,TX,17,REP,193101,TX17_2024,PETE SESSIONS,H2TX03126,PETE SESSIONS,1.0
260,2024,TX,17,DEM,97941,TX17_2024,MARK LORENZEN,H4TX17114,MARK LORENZEN,1.0
266,2024,TX,16,DEM,131391,TX16_2024,VERONICA ESCOBAR,H8TX16109,VERONICA ESCOBAR,1.0
271,2010,FL,5,DEM,100858,FL5_2010,JAMES PICCILLO,H0FL05113,JAMES PICCILLO,1.0
272,2010,FL,3,OTHER,4625,FL3_2010,TERRY MARTIN-BACK,H0FL03076,TERRY MARTIN-BACK,1.0
275,2024,TX,15,DEM,95965,TX15_2024,MICHELLE VALLEJO,H2TX15203,MICHELLE VALLEJO,1.0
279,2024,TX,14,DEM,95875,TX14_2024,RHONDA HART,H4TX14111,RHONDA HART,1.0
284,2024,TX,12,REP,215564,TX12_2024,CRAIG GOLDMAN,H4TX12065,CRAIG GOLDMAN,1.0
285,2024,TX,12,DEM,124154,TX12_2024,TREY HUNT,H2TX12085,TREY HUNT,1.0
286,2024,TX,13,REP,240622,TX13_2024,RONNY JACKSON,H0TX13228,RONNY JACKSON,1.0
289,2024,TX,11,REP,211975,TX11_2024,AUGUST PFLUGER,H0TX11230,AUGUST PFLUGER,1.0
294,2024,TX,10,REP,221229,TX10_2024,MICHAEL MCCAUL,H4TX10093,MICHAEL MCCAUL,1.0
295,2024,TX,10,DEM,118280,TX10_2024,THERESA BOISSEAU,H4TX10226,THERESA BOISSEAU,1.0
301,2024,TX,8,DEM,108754,TX8_2024,LAURA JONES,H0TX08145,LAURA JONES,1.0
302,2024,TX,8,REP,233423,TX8_2024,MORGAN LUTTRELL,H2TX08182,MORGAN LUTTRELL,1.0
304,2010,FL,14,REP,188341,FL14_2010,CONNIE MACK,H4FL14059,CONNIE MACK,1.0
305,2010,FL,14,DEM,74525,FL14_2010,JAMES ROACH,H0FL14065,JAMES ROACH,1.0
307,2010,FL,3,DEM,94744,FL3_2010,CORRINE BROWN,H2FL03056,CORRINE BROWN,1.0
315,2024,TX,7,REP,94651,TX7_2024,CAROLINE KANE,H4TX07099,CAROLINE KANE,1.0
316,2024,TX,5,REP,192185,TX5_2024,LANCE GOODEN,H8TX05144,LANCE GOODEN,1.0
317,2024,TX,5,DEM,107712,TX5_2024,RUTH TORRES,H2TX05253,RUTH TORRES,1.0
321,2024,TX,4,DEM,111696,TX4_2024,SIMON CARDELL,H4TX04161,SIMON CARDELL,1.0
329,2024,TX,3,DEM,142953,TX3_2024,SANDEEP SRIVASTAVA,H2TX03274,SANDEEP SRIVASTAVA,1.0
